fighter_name,reach,date_of_birth,slpm,td_avg,strike_acc,td_acc,sapm,td_def,strike_def,sub_avg,total_wins,total_losses,total_draws,height_cm,ufc_wins,ufc_losses,ufc_nc
Hunter Azure,69,1992-03-02,3.92,1.97,53.0,34.0,2.08,67.0,58.0,1.3,9,2,0,172.72,0,0,4
Rolando Dy,69,1990-08-11,3.04,0.3,37.0,20.0,4.47,68.0,52.0,0.0,9,7,1 ,172.72,0,0,4
Jessica Eye,66,1986-07-27,3.86,0.58,37.0,40.0,4.19,57.0,55.0,0.5,15,11,0 ,167.64000000000001,0,0,16
Mike Guymon,74,1974-09-17,2.75,1.87,65.0,37.0,0.79,54.0,66.0,1.2,15,6,1,182.88,0,0,4
Cristiane Justino,68,1985-07-09,7.28,0.66,52.0,55.0,2.25,94.0,64.0,0.4,21,2,0 ,172.72,0,0,7
Mike Kyle,77,1980-03-31,3.93,1.33,51.0,62.0,3.35,50.0,49.0,0.8,22,14,1 ,193.04,0,0,3
Chris Lytle,68,1974-08-18,3.76,0.7,45.0,55.0,3.03,55.0,58.0,2.4,31,18,5,180.34,0,0,20
Kennedy Nzechukwu,83,1992-06-13,4.86,0.68,46.0,50.0,4.27,80.0,51.0,0.3,12,4,0,195.57999999999998,0,0,10
Alptekin Ozkilic,65,1986-03-27,3.81,4.21,32.0,58.0,5.72,75.0,59.0,0.0,9,5,0,165.1,0,0,4
Mike Pyle,74,1975-09-18,2.74,1.8,45.0,35.0,2.84,70.0,60.0,1.5,27,14,1,182.88,0,0,19
Cristian Quinonez,70,1996-04-26,5.23,0.73,42.0,100.0,5.13,85.0,59.0,0.0,18,4,0,172.72,0,0,2
Jose Quinonez,69,1990-07-28,3.6,2.7,45.0,47.0,3.0,42.0,64.0,0.6,9,5,0,172.72,0,0,9
Landon Quinones,70,1995-11-21,9.87,0.0,41.0,0.0,11.4,100.0,54.0,0.0,7,2,1,175.26,0,0,1
Michel Quinones,73,1984-12-22,2.91,0.0,29.0,0.0,5.98,36.0,48.0,0.0,8,3,0,177.8,0,0,2
Josh Quinlan,72,1993-02-06,3.68,0.84,41.0,12.0,5.97,60.0,50.0,0.0,6,1,0 ,182.88,0,0,2
Jimmy Quinlan,,1986-05-25,2.08,4.46,70.0,25.0,5.94,0.0,16.0,0.0,3,1,1,182.88,0,0,1
Vinicius Queiroz,,1983-08-29,3.67,5.07,51.0,70.0,4.1,100.0,41.0,0.7,8,4,0,200.66,0,0,1
Nate Quarry,72,1972-03-18,4.96,0.25,44.0,33.0,2.8,60.0,66.0,0.0,12,4,0,182.88,0,0,10
Billy Quarantillo,70,1988-12-08,7.71,1.31,57.0,23.0,5.61,63.0,43.0,1.2,18,5,0,177.8,0,0,9
Joe Pyfer,75,1996-09-17,3.64,2.97,45.0,83.0,2.34,50.0,55.0,1.8,12,2,0,187.96,0,0,3
CM Punk,73,1978-10-26,1.1,0.87,23.0,11.0,4.87,0.0,40.0,0.0,0,1,0 ,185.42,0,0,2
Jens Pulver,70,1974-12-06,2.12,0.22,37.0,33.0,3.13,63.0,56.0,0.3,27,19,1,170.18,0,0,9
Juan Manuel Puig,,1989-04-23,4.91,0.0,23.0,0.0,7.17,0.0,51.0,0.0,11,4,0,175.26,0,0,2
Claudio Puelles,72,1996-04-21,1.82,2.41,49.0,30.0,2.93,60.0,47.0,1.4,13,3,0,177.8,0,0,7
Lucie Pudilova,67,1994-06-13,3.97,0.62,37.0,27.0,3.95,63.0,51.0,0.6,14,8,0,172.72,0,0,9
Joe Proctor,72,1985-08-10,3.39,0.0,36.0,0.0,3.93,70.0,59.0,1.8,11,5,0,177.8,0,0,8
Lara Procopio,67,1995-11-14,5.64,3.15,58.0,47.0,6.5,50.0,47.0,0.3,7,2,0,162.56,0,0,3
Jiri Prochazka,80,1992-10-14,5.77,0.38,55.0,100.0,5.4,68.0,40.0,0.4,29,3,1,190.5,0,0,3
Shane Primm,,1984-07-30,0.83,1.78,26.0,20.0,2.25,0.0,62.0,0.0,5,5,0,190.5,0,0,1
Niko Price,76,1989-09-29,5.46,0.7,42.0,20.0,5.6,64.0,48.0,0.7,15,7,0 ,182.88,0,0,16
Chris Price,,1982-11-09,1.44,0.0,66.0,0.0,2.59,33.0,48.0,2.2,19,4,0,187.96,0,0,2
Kyle Prepolec,70,1989-08-30,3.2,0.0,34.0,0.0,4.7,40.0,54.0,0.0,12,7,0,177.8,0,0,2
Michel Prazeres,67,1981-07-25,2.38,3.94,47.0,36.0,2.51,47.0,57.0,0.6,26,4,0,167.64000000000001,0,0,14
Carlo Prater,72,1981-06-25,2.03,0.43,47.0,9.0,4.07,57.0,35.0,1.7,31,18,1,180.34,0,0,3
Trevor Prangley,75,1972-08-24,2.59,3.38,60.0,55.0,2.02,74.0,48.0,1.0,34,11,2,185.42,0,0,4
Francisco Prado,69,2002-06-16,3.46,0.0,50.0,0.0,3.83,25.0,46.0,0.8,12,1,0,177.8,0,0,2
Wagner Prado,74,1986-12-30,1.72,0.0,40.0,0.0,3.06,22.0,50.0,0.0,12,3,0 ,182.88,0,0,3
Marcin Prachnio,74,1988-07-14,5.39,0.0,55.0,0.0,3.25,54.0,53.0,0.0,16,7,0,190.5,0,0,8
Devin Powell,73,1988-03-01,2.88,0.0,41.0,0.0,3.67,0.0,51.0,0.6,9,4,0,182.88,0,0,4
Ruan Potts,75,1978-02-23,0.85,0.75,37.0,16.0,5.92,33.0,22.0,2.3,11,6,0,187.96,0,0,3
Callan Potter,72,1984-06-09,3.18,3.29,50.0,66.0,4.72,100.0,58.0,0.0,18,9,0,182.88,0,0,3
Ihor Potieria,75,1996-05-29,4.44,0.0,56.0,0.0,5.52,33.0,42.0,0.0,19,4,0,190.5,0,0,3
Parker Porter,75,1985-04-22,6.55,1.35,50.0,26.0,6.32,66.0,51.0,0.5,14,9,0,182.88,0,0,8
Grigory Popov,68,1984-04-18,3.63,0.0,37.0,0.0,4.2,45.0,55.0,0.0,13,3,0,170.18,0,0,2
Santiago Ponzinibbio,73,1986-09-26,4.9,0.48,41.0,30.0,4.67,60.0,61.0,0.0,30,7,0,182.88,0,0,17
John Polakowski,,1981-06-21,2.6,0.0,26.0,0.0,2.83,87.0,50.0,0.7,2,2,0,177.8,0,0,1
Igor Pokrajac,74,1979-01-02,2.25,0.87,45.0,29.0,4.26,51.0,40.0,0.2,28,13,0 ,182.88,0,0,13
Dustin Poirier,72,1989-01-19,5.49,1.36,50.0,36.0,4.3,63.0,53.0,1.2,29,8,0 ,175.26,0,0,29
Ross Pointon,,1980-02-18,2.62,1.19,23.0,100.0,2.77,0.0,58.0,0.0,6,17,0,172.72,0,0,2
Jamal Pogues,77,1995-12-01,3.12,3.0,42.0,48.0,4.25,66.0,52.0,0.0,10,4,0,190.5,0,0,2
Maki Pitolo,75,1990-11-24,4.1,2.24,44.0,52.0,3.93,50.0,55.0,0.8,13,9,0,177.8,0,0,6
Gaetano Pirrello,65,1992-04-29,0.99,0.0,55.0,0.0,2.44,30.0,42.0,0.0,15,7,1,170.18,0,0,2
Luana Pinheiro,62,1992-11-18,3.86,2.83,39.0,50.0,3.67,50.0,63.0,0.4,11,1,0,157.48000000000002,0,0,3
Pingyuan Liu,72,1993-02-13,2.36,0.25,33.0,20.0,2.99,56.0,54.0,1.0,13,7,0,167.64000000000001,0,0,4
Jesus Pinedo,,1996-06-22,3.23,2.5,38.0,100.0,4.37,100.0,52.0,0.0,16,5,1,177.8,0,0,2
Daniel Pineda,69,1985-08-06,3.09,1.71,49.0,25.0,3.18,48.0,46.0,1.7,28,15,0 ,170.18,0,0,12
Paddy Pimblett,73,1995-01-03,4.19,0.97,46.0,25.0,3.48,56.0,41.0,2.4,20,3,0,177.8,0,0,4
Domingo Pilarte,73,1990-01-05,1.31,1.2,47.0,42.0,2.96,54.0,40.0,0.8,8,3,0 ,182.88,0,0,3
Sean Pierson,76,1976-03-10,3.84,0.39,39.0,18.0,3.73,66.0,64.0,0.4,14,6,0,182.88,0,0,6
Joao Pierini,,1971-12-11,0.76,0.0,14.0,0.0,4.56,0.0,33.0,0.0,4,1,0,185.42,0,0,1
Mike Pierce,71,1980-09-01,2.62,3.08,42.0,42.0,2.36,71.0,62.0,0.2,17,7,0,172.72,0,0,14
Oskar Piechota,76,1990-01-24,3.3,0.61,52.0,40.0,3.93,38.0,51.0,1.5,11,3,1 ,182.88,0,0,6
Jamie Pickett,80,1988-08-29,2.84,1.44,48.0,40.0,3.92,69.0,49.0,0.1,13,10,0,187.96,0,0,8
Brad Pickett,68,1978-09-24,3.02,2.47,31.0,44.0,4.63,58.0,55.0,0.4,25,14,0,167.64000000000001,0,0,14
Vinc Pichel,72,1982-11-23,3.56,3.0,47.0,54.0,2.5,23.0,58.0,0.2,14,3,0,177.8,0,0,10
Kyler Phillips,72,1995-06-12,5.36,2.87,46.0,46.0,3.36,70.0,61.0,0.6,11,2,0,172.72,0,0,6
John Phillips,75,1985-06-09,1.72,0.0,34.0,0.0,4.03,7.0,49.0,0.0,22,11,0 ,180.34,0,0,6
Elizabeth Phillips,65,1986-08-20,2.6,0.75,33.0,25.0,3.07,53.0,58.0,0.2,6,6,0,167.64000000000001,0,0,4
Aaron Phillips,71,1989-08-05,1.51,0.86,53.0,50.0,3.66,44.0,43.0,0.6,12,5,0,175.26,0,0,4
Constantinos Philippou,73,1979-11-29,2.19,0.4,35.0,42.0,2.73,65.0,54.0,0.3,13,5,0 ,180.34,0,0,10
Nam Phan,70,1983-03-13,4.52,0.18,37.0,18.0,6.55,60.0,59.0,0.2,21,17,0,167.64000000000001,0,0,8
Cody Pfister,73,1990-07-12,1.41,2.82,25.0,30.0,2.8,0.0,51.0,0.0,13,6,1,177.8,0,0,4
Forrest Petz,71,1975-09-22,2.27,1.3,29.0,100.0,2.2,66.0,57.0,0.0,26,10,0,175.26,0,0,7
Sergio Pettis,69,1993-08-18,3.88,0.85,37.0,40.0,2.91,67.0,65.0,0.4,18,5,0,167.64000000000001,0,0,14
Anthony Pettis,72,1987-01-27,3.05,0.61,47.0,50.0,3.44,60.0,54.0,1.1,24,10,0,177.8,0,0,20
Seth Petruzelli,76,1979-12-03,2.17,0.46,41.0,50.0,2.08,47.0,55.0,2.3,14,8,0,182.88,0,0,4
Ivana Petrovic,70,1994-06-11,1.47,2.0,35.0,33.0,2.73,66.0,52.0,2.0,6,1,0,172.72,0,0,1
Armen Petrosyan,71,1990-11-02,5.97,0.23,52.0,33.0,3.03,36.0,56.0,0.0,9,2,0,190.5,0,0,4
Andre Petroski,73,1991-06-12,3.61,4.48,51.0,54.0,3.03,71.0,51.0,2.5,10,3,0,182.88,0,0,6
Vitor Petrino,77,1997-08-28,3.35,4.42,50.0,73.0,2.84,68.0,43.0,1.2,9,0,0,187.96,0,0,2
Steven Peterson,70,1990-05-29,4.76,1.42,40.0,26.0,5.94,64.0,53.0,0.7,19,11,0,177.8,0,0,8
Viktor Pesta,77,1990-07-15,1.58,3.29,36.0,28.0,2.54,100.0,56.0,0.0,10,4,0,190.5,0,0,5
Raphael Pessoa,78,1989-03-09,2.16,0.0,26.0,0.0,3.43,100.0,42.0,0.0,10,2,0,190.5,0,0,3
Mike Perry,71,1991-09-15,4.32,0.81,47.0,40.0,5.16,78.0,52.0,0.2,14,8,0,177.8,0,0,15
Jay Perrin,67,1993-06-15,3.71,2.83,46.0,52.0,3.9,58.0,44.0,0.0,10,7,0,170.18,0,0,3
Hernani Perpetuo,,1985-05-24,2.73,0.0,29.0,0.0,4.37,37.0,55.0,0.5,18,5,0 ,182.88,0,0,2
Thiago Perpetuo,,1987-12-14,5.39,2.82,69.0,50.0,3.51,66.0,51.0,0.0,9,4,1,177.8,0,0,3
Anthony Perosh,75,1972-10-05,2.27,2.03,43.0,22.0,3.77,33.0,53.0,1.1,15,10,0,190.5,0,0,12
Ailin Perez,66,1994-10-05,3.05,6.63,55.0,61.0,1.08,75.0,60.0,0.0,8,2,0,165.1,0,0,2
Markus Perez,73,1988-06-22,2.6,0.81,47.0,25.0,3.72,77.0,52.0,1.0,12,5,0,185.42,0,0,7
Alex Perez,65,1992-03-21,4.67,2.84,48.0,44.0,3.14,77.0,60.0,1.3,24,7,0,167.64000000000001,0,0,9
Frankie Perez,73,1989-05-11,1.64,1.75,41.0,41.0,2.17,50.0,54.0,0.3,10,4,0,180.34,0,0,4
Alejandro Perez,67,1989-09-02,3.45,0.54,35.0,22.0,3.18,70.0,61.0,0.3,23,9,1,167.64000000000001,0,0,13
Erik Perez,68,1989-11-19,3.16,3.16,40.0,55.0,2.09,69.0,66.0,0.2,17,6,0,172.72,0,0,9
Alex Pereira,79,1987-07-07,5.11,0.22,62.0,100.0,3.7,70.0,51.0,0.2,8,2,0,193.04,0,0,6
